constituency_name,country/region,election,majority_proportion,winner,constituency_id,boundary_set,election_type,con_share,lab_share,lib_share,natSW_share,previous_election
Rochester and Strood,South East,2024,0.3615897459974647,lab,E14001447,2023-current,actual,0.29280717404572987,0.3615897459974647,0.04446218132306681,0.0,2019_notional
Romford,London,2024,0.34824165096374327,con,E14001448,2023-current,actual,0.34824165096374327,0.3150271301110178,0.043022226258314984,0.0,2019_notional
Romsey and Southampton North,South East,2024,0.3976452715533612,con,E14001449,2023-current,actual,0.3976452715533612,0.09274991504587522,0.35384892158234554,0.0,2019_notional
Rossendale and Darwen,North West,2024,0.408960509211529,lab,E14001450,2023-current,actual,0.2828230758886548,0.408960509211529,0.027813886772154735,0.0,2019_notional
Rother Valley,Yorkshire and The Humber,2024,0.3850942126514132,lab,E14001451,2023-current,actual,0.3611084406844838,0.3850942126514132,0.02823976158431071,0.0,2019_notional
Rotherham,Yorkshire and The Humber,2024,0.4513971623524315,lab,E14001452,2023-current,actual,0.0,0.4513971623524315,0.076464854326871,0.0,2019_notional
Rugby,West Midlands,2024,0.3986001142763856,lab,E14001453,2023-current,actual,0.3082401436617419,0.3986001142763856,0.06636192963839686,0.0,2019_notional
"Ruislip, Northwood and Pinner",London,2024,0.4537172708160795,con,E14001454,2023-current,actual,0.4537172708160795,0.292731095113716,0.09222569068399482,0.0,2019_notional
Runcorn and Helsby,North West,2024,0.5293713744524683,lab,E14001455,2023-current,actual,0.15996211672783237,0.5293713744524683,0.05088196993015272,0.0,2019_notional
Runnymede and Weybridge,South East,2024,0.3821938532319234,con,E14001456,2023-current,actual,0.3821938532319234,0.20647420885748036,0.22413114210515409,0.0,2019_notional
Rushcliffe,East Midlands,2024,0.43798489886395126,lab,E14001457,2023-current,actual,0.30938279301745636,0.43798489886395126,0.054256719312829035,0.0,2019_notional
Rutherglen,Scotland,2024,0.5051313435646361,lab,S14000104,2023-current,actual,0.05696262122210714,0.5051313435646361,0.040344600320120515,0.2987713021372752,2019_notional
Rutland and Stamford,East Midlands,2024,0.4374086501842436,con,E14001458,2023-current,actual,0.4374086501842436,0.22343907610597608,0.12870288408094366,0.0,2019_notional
Salford,North West,2024,0.5322385653838404,lab,E14001459,2023-current,actual,0.09024279669554705,0.5322385653838404,0.0693129155752569,0.0,2019_notional
Salisbury,South West,2024,0.3410200705558767,con,E14001460,2023-current,actual,0.3410200705558767,0.26514260658122896,0.23568453152093755,0.0,2019_notional
Scarborough and Whitby,Yorkshire and The Humber,2024,0.40157391284683747,lab,E14001461,2023-current,actual,0.2792790755523394,0.40157391284683747,0.0429433979331087,0.0,2019_notional
Scunthorpe,Yorkshire and The Humber,2024,0.39650713169957236,lab,E14001462,2023-current,actual,0.3058052290594351,0.39650713169957236,0.024122301605592686,0.0,2019_notional
Sefton Central,North West,2024,0.5642268540959767,lab,E14001463,2023-current,actual,0.17892895529937405,0.5642268540959767,0.05542793314927606,0.0,2019_notional
Selby,Yorkshire and The Humber,2024,0.46296371541180775,lab,E14001464,2023-current,actual,0.25584088415749057,0.46296371541180775,0.03640648490512372,0.0,2019_notional
Sevenoaks,South East,2024,0.36730194993887655,con,E14001465,2023-current,actual,0.36730194993887655,0.13631535702118278,0.25828172909276736,0.0,2019_notional
Sheffield Brightside and Hillsborough,Yorkshire and The Humber,2024,0.515658610654182,lab,E14001466,2023-current,actual,0.1287169429330634,0.515658610654182,0.05358724534986714,0.0,2019_notional
